07/11 15:10:15.927 | 15:10:15.311 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 20 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:15.927 | 15:10:15.311 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 21 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.036 | 15:10:15.420 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.171
07/11 15:10:16.036 | 15:10:15.420 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 19 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.036 | 15:10:15.420 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 20 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.144 | 15:10:15.528 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.149
07/11 15:10:16.144 | 15:10:15.528 : #00004020 #Con#Mercury     TMercuryClientProcessor.ProcessImAlive : 07/11/2022 15:10:15.546 BookBMF=0 BookBovespa=0 TradesBMF=0 TradesBovespa=0 QuotesBMF=0 QuotesBovespa=0 TradesReplay=0 QuotesReplay=0
07/11 15:10:16.144 | 15:10:15.546 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 18 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.144 | 15:10:15.546 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 19 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.253 | 15:10:15.655 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.382
07/11 15:10:16.253 | 15:10:15.655 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 17 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.253 | 15:10:15.655 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 18 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.359 | 15:10:15.761 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=106.084
07/11 15:10:16.359 | 15:10:15.761 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 16 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.359 | 15:10:15.761 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 17 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.468 | 15:10:15.870 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.019
07/11 15:10:16.468 | 15:10:15.870 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 15 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.468 | 15:10:15.870 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 16 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.577 | 15:10:15.979 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.239
07/11 15:10:16.577 | 15:10:15.979 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 14 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.578 | 15:10:15.980 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 15 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.686 | 15:10:16.088 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=108.309
07/11 15:10:16.686 | 15:10:16.088 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 13 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.687 | 15:10:16.089 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 14 :  SocketState=wsConnected AliveTimer=True SSL=True
07/11 15:10:16.796 | 15:10:16.198 : #00004020 #Per#Mercury     TMercuryClient.ProcessMessage(1124):  Time=109.927
07/11 15:10:16.796 | 15:10:16.198 : #00004020 #Con#Mercury     TCustomClient.HandleClientConnect connected : 12 :  SocketState=wsConnected AliveTimer=True SSL=False
07/11 15:10:16.796 | 15:10:16.198 : #00004F68 #Con#Info        TCustomClient.HandleClientConnect connected : 13 :  SocketState=wsConnected AliveTimer=True SSL=True
